trade_date,tradebook,trade_id,currency,price,quantity,notional
2026-02-11,EQD,123,USD,123.40,4,493.60
2026-02-12,FICC,124,EUR,124.50,5,622.50
2026-02-13,FX,125,USD,125.60,6,753.60
2026-02-14,EQD,126,USD,126.00,7,882.00
2026-02-15,FICC,127,EUR,127.10,8,1016.80
2026-02-16,FX,128,USD,128.20,9,1153.80
2026-02-17,EQD,129,USD,129.30,10,1293.00
2026-02-18,FICC,130,EUR,130.40,11,1434.40
2026-02-19,FX,131,USD,131.50,12,1578.00
2026-02-20,EQD,132,USD,132.60,13,1723.80
2026-02-21,FICC,133,EUR,133.00,14,1862.00
2026-02-22,FX,134,USD,134.10,15,2011.50
2026-02-23,EQD,135,USD,135.20,16,2163.20
2026-02-24,FICC,136,EUR,136.30,17,2317.10
2026-02-25,FX,137,USD,137.40,18,2473.20
2026-02-26,EQD,138,USD,138.50,19,2631.50
2026-02-27,FICC,139,EUR,139.60,20,2792.00
2026-02-28,FX,140,USD,140.00,1,140.00
2026-02-01,EQD,141,USD,141.10,2,282.20
2026-02-02,FICC,142,EUR,142.20,3,426.60
2026-02-03,FX,143,USD,143.30,4,573.20
2026-02-04,EQD,144,USD,144.40,5,722.00
2026-02-05,FICC,145,EUR,145.50,6,873.00
2026-02-06,FX,146,USD,146.60,7,1026.20
2026-02-07,EQD,147,USD,147.00,8,1176.00
2026-02-08,FICC,148,EUR,148.10,9,1332.90
2026-02-09,FX,149,USD,149.20,10,1492.00
2026-02-10,EQD,150,USD,100.30,11,1103.30
2026-02-11,FICC,151,EUR,101.40,12,1216.80
2026-02-12,FX,152,USD,102.50,13,1332.50
2026-02-13,EQD,153,USD,103.60,14,1450.40
2026-02-14,FICC,154,EUR,104.00,15,1560.00
2026-02-15,FX,155,USD,105.10,16,1681.60
2026-02-16,EQD,156,USD,106.20,17,1805.40
2026-02-17,FICC,157,EUR,107.30,18,1931.40
2026-02-18,FX,158,USD,108.40,19,2059.60
2026-02-19,EQD,159,USD,109.50,20,2190.00
2026-02-20,FICC,160,EUR,110.60,1,110.60
2026-02-21,FX,161,USD,111.00,2,222.00
2026-02-22,EQD,162,USD,112.10,3,336.30
2026-02-23,FICC,163,EUR,113.20,4,452.80
2026-02-24,FX,164,USD,114.30,5,571.50
2026-02-25,EQD,165,USD,115.40,6,692.40
2026-02-26,FICC,166,EUR,116.50,7,815.50
2026-02-27,FX,167,USD,117.60,8,940.80
2026-02-28,EQD,168,USD,118.00,9,1062.00
2026-02-01,FICC,169,EUR,119.10,10,1191.00
2026-02-02,FX,170,USD,120.20,11,1322.20
2026-02-03,EQD,171,USD,121.30,12,1455.60
2026-02-04,FICC,172,EUR,122.40,13,1591.20
2026-02-05,FX,173,USD,123.50,14,1729.00
2026-02-06,EQD,174,USD,124.60,15,1869.00
2026-02-07,FICC,175,EUR,125.00,16,2000.00
2026-02-08,FX,176,USD,126.10,17,2143.70
2026-02-09,EQD,177,USD,127.20,18,2289.60
2026-02-10,FICC,178,EUR,128.30,19,2437.70
2026-02-11,FX,179,USD,129.40,20,2588.00
2026-02-12,EQD,180,USD,130.50,1,130.50
2026-02-13,FICC,181,EUR,131.60,2,263.20
2026-02-14,FX,182,USD,132.00,3,396.00
2026-02-15,EQD,183,USD,133.10,4,532.40
2026-02-16,FICC,184,EUR,134.20,5,671.00
2026-02-17,FX,185,USD,135.30,6,811.80
2026-02-18,EQD,186,USD,136.40,7,954.80
2026-02-19,FICC,187,EUR,137.50,8,1100.00
2026-02-20,FX,188,USD,138.60,9,1247.40
2026-02-21,EQD,189,USD,139.00,10,1390.00
2026-02-22,FICC,190,EUR,140.10,11,1541.10
2026-02-23,FX,191,USD,141.20,12,1694.40
2026-02-24,EQD,192,USD,142.30,13,1849.90
2026-02-25,FICC,193,EUR,143.40,14,2007.60
2026-02-26,FX,194,USD,144.50,15,2167.50
2026-02-27,EQD,195,USD,145.60,16,2329.60
2026-02-28,FICC,196,EUR,146.00,17,2482.00
2026-02-01,FX,197,USD,147.10,18,2647.80
2026-02-02,EQD,198,USD,148.20,19,2815.80
2026-02-03,FICC,199,EUR,149.30,20,2986.00
2026-02-04,FX,200,USD,100.40,1,100.40
2026-02-05,EQD,201,USD,101.50,2,203.00
2026-02-06,FICC,202,EUR,102.60,3,307.80
2026-02-07,FX,203,USD,103.00,4,412.00
2026-02-08,EQD,204,USD,104.10,5,520.50
2026-02-09,FICC,205,EUR,105.20,6,631.20
2026-02-10,FX,206,USD,106.30,7,744.10
2026-02-11,EQD,207,USD,107.40,8,859.20
2026-02-12,FICC,208,EUR,108.50,9,976.50
2026-02-13,FX,209,USD,109.60,10,1096.00
2026-02-14,EQD,210,USD,110.00,11,1210.00
2026-02-15,FICC,211,EUR,111.10,12,1333.20
2026-02-16,FX,212,USD,112.20,13,1458.60
2026-02-17,EQD,213,USD,113.30,14,1586.20
2026-02-18,FICC,214,EUR,114.40,15,1716.00
2026-02-19,FX,215,USD,115.50,16,1848.00
2026-02-20,EQD,216,USD,116.60,17,1982.20
2026-02-21,FICC,217,EUR,117.00,18,2106.00
2026-02-22,FX,218,USD,118.10,19,2243.90
2026-02-23,EQD,219,USD,119.20,20,2384.00
2026-02-24,FICC,220,EUR,120.30,1,120.30
2026-02-25,FX,221,USD,121.40,2,242.80
2026-02-26,EQD,222,USD,122.50,3,367.50
2026-02-27,FICC,223,EUR,123.60,4,494.40
2026-02-28,FX,224,USD,124.00,5,620.00
2026-02-01,EQD,225,USD,125.10,6,750.60
2026-02-02,FICC,226,EUR,126.20,7,883.40
2026-02-03,FX,227,USD,127.30,8,1018.40
2026-02-04,EQD,228,USD,128.40,9,1155.60
2026-02-05,FICC,229,EUR,129.50,10,1295.00
2026-02-06,FX,230,USD,130.60,11,1436.60
2026-02-07,EQD,231,USD,131.00,12,1572.00
2026-02-08,FICC,232,EUR,132.10,13,1717.30
2026-02-09,FX,233,USD,133.20,14,1864.80
2026-02-10,EQD,234,USD,134.30,15,2014.50
2026-02-11,FICC,235,EUR,135.40,16,2166.40
2026-02-12,FX,236,USD,136.50,17,2320.50
2026-02-13,EQD,237,USD,137.60,18,2476.80
2026-02-14,FICC,238,EUR,138.00,19,2622.00
2026-02-15,FX,239,USD,139.10,20,2782.00
2026-02-16,EQD,240,USD,140.20,1,140.20
2026-02-17,FICC,241,EUR,141.30,2,282.60
2026-02-18,FX,242,USD,142.40,3,427.20
2026-02-19,EQD,243,USD,143.50,4,574.00
2026-02-20,FICC,244,EUR,144.60,5,723.00
2026-02-21,FX,245,USD,145.00,6,870.00
2026-02-22,EQD,246,USD,146.10,7,1022.70
2026-02-23,FICC,247,EUR,147.20,8,1177.60
2026-02-24,FX,248,USD,148.30,9,1334.70
2026-02-25,EQD,249,USD,149.40,10,1494.00
2026-02-26,FICC,250,EUR,100.50,11,1105.50
2026-02-27,FX,251,USD,101.60,12,1219.20
2026-02-28,EQD,252,USD,102.00,13,1326.00
2026-02-01,FICC,253,EUR,103.10,14,1443.40
2026-02-02,FX,254,USD,104.20,15,1563.00
2026-02-03,EQD,255,USD,105.30,16,1684.80
2026-02-04,FICC,256,EUR,106.40,17,1808.80
2026-02-05,FX,257,USD,107.50,18,1935.00
2026-02-06,EQD,258,USD,108.60,19,2063.40
2026-02-07,FICC,259,EUR,109.00,20,2180.00
2026-02-08,FX,260,USD,110.10,1,110.10
2026-02-09,EQD,261,USD,111.20,2,222.40
2026-02-10,FICC,262,EUR,112.30,3,336.90
2026-02-11,FX,263,USD,113.40,4,453.60
2026-02-12,EQD,264,USD,114.50,5,572.50
2026-02-13,FICC,265,EUR,115.60,6,693.60
2026-02-14,FX,266,USD,116.00,7,812.00
2026-02-15,EQD,267,USD,117.10,8,936.80
2026-02-16,FICC,268,EUR,118.20,9,1063.80
2026-02-17,FX,269,USD,119.30,10,1193.00
2026-02-18,EQD,270,USD,120.40,11,1324.40
2026-02-19,FICC,271,EUR,121.50,12,1458.00
2026-02-20,FX,272,USD,122.60,13,1593.80
2026-02-21,EQD,273,USD,123.00,14,1722.00
2026-02-22,FICC,274,EUR,124.10,15,1861.50
2026-02-23,FX,275,USD,125.20,16,2003.20
2026-02-24,EQD,276,USD,126.30,17,2147.10
2026-02-25,FICC,277,EUR,127.40,18,2293.20
2026-02-26,FX,278,USD,128.50,19,2441.50
2026-02-27,EQD,279,USD,129.60,20,2592.00
2026-02-28,FICC,280,EUR,130.00,1,130.00
2026-02-01,FX,281,USD,131.10,2,262.20
2026-02-02,EQD,282,USD,132.20,3,396.60
2026-02-03,FICC,283,EUR,133.30,4,533.20
2026-02-04,FX,284,USD,134.40,5,672.00
2026-02-05,EQD,285,USD,135.50,6,813.00
2026-02-06,FICC,286,EUR,136.60,7,956.20
2026-02-07,FX,287,USD,137.00,8,1096.00
2026-02-08,EQD,288,USD,138.10,9,1242.90
2026-02-09,FICC,289,EUR,139.20,10,1392.00
2026-02-10,FX,290,USD,140.30,11,1543.30
2026-02-11,EQD,291,USD,141.40,12,1696.80
2026-02-12,FICC,292,EUR,142.50,13,1852.50
2026-02-13,FX,293,USD,143.60,14,2010.40
2026-02-14,EQD,294,USD,144.00,15,2160.00
2026-02-15,FICC,295,EUR,145.10,16,2321.60
2026-02-16,FX,296,USD,146.20,17,2485.40
2026-02-17,EQD,297,USD,147.30,18,2651.40
2026-02-18,FICC,298,EUR,148.40,19,2819.60
2026-02-19,FX,299,USD,149.50,20,2990.00
2026-02-20,EQD,300,USD,100.60,1,100.60
2026-02-21,FICC,301,EUR,101.00,2,202.00
2026-02-22,FX,302,USD,102.10,3,306.30
2026-02-23,EQD,303,USD,103.20,4,412.80
2026-02-24,FICC,304,EUR,104.30,5,521.50
2026-02-25,FX,305,USD,105.40,6,632.40
2026-02-26,EQD,306,USD,106.50,7,745.50
2026-02-27,FICC,307,EUR,107.60,8,860.80
2026-02-28,FX,308,USD,108.00,9,972.00
2026-02-01,EQD,309,USD,109.10,10,1091.00
2026-02-02,FICC,310,EUR,110.20,11,1212.20
2026-02-03,FX,311,USD,111.30,12,1335.60
2026-02-04,EQD,312,USD,112.40,13,1461.20
2026-02-05,FICC,313,EUR,113.50,14,1589.00
2026-02-06,FX,314,USD,114.60,15,1719.00
2026-02-07,EQD,315,USD,115.00,16,1840.00
2026-02-08,FICC,316,EUR,116.10,17,1973.70
2026-02-09,FX,317,USD,117.20,18,2109.60
2026-02-10,EQD,318,USD,118.30,19,2247.70
2026-02-11,FICC,319,EUR,119.40,20,2388.00
2026-02-12,FX,320,USD,120.50,1,120.50
2026-02-13,EQD,321,USD,121.60,2,243.20
2026-02-14,FICC,322,EUR,122.00,3,366.00
2026-02-15,FX,323,USD,123.10,4,492.40
2026-02-16,EQD,324,USD,124.20,5,621.00
2026-02-17,FICC,325,EUR,125.30,6,751.80
2026-02-18,FX,326,USD,126.40,7,884.80
2026-02-19,EQD,327,USD,127.50,8,1020.00
2026-02-20,FICC,328,EUR,128.60,9,1157.40
2026-02-21,FX,329,USD,129.00,10,1290.00
2026-02-22,EQD,330,USD,130.10,11,1431.10
2026-02-23,FICC,331,EUR,131.20,12,1574.40
2026-02-24,FX,332,USD,132.30,13,1719.90
2026-02-25,EQD,333,USD,133.40,14,1867.60
2026-02-26,FICC,334,EUR,134.50,15,2017.50
2026-02-27,FX,335,USD,135.60,16,2169.60
2026-02-28,EQD,336,USD,136.00,17,2312.00
2026-02-01,FICC,337,EUR,137.10,18,2467.80
2026-02-02,FX,338,USD,138.20,19,2625.80
2026-02-03,EQD,339,USD,139.30,20,2786.00
2026-02-04,FICC,340,EUR,140.40,1,140.40
2026-02-05,FX,341,USD,141.50,2,283.00
2026-02-06,EQD,342,USD,142.60,3,427.80
2026-02-07,FICC,343,EUR,143.00,4,572.00
2026-02-08,FX,344,USD,144.10,5,720.50
2026-02-09,EQD,345,USD,145.20,6,871.20
2026-02-10,FICC,346,EUR,146.30,7,1024.10
2026-02-11,FX,347,USD,147.40,8,1179.20
2026-02-12,EQD,348,USD,148.50,9,1336.50
2026-02-13,FICC,349,EUR,149.60,10,1496.00
2026-02-14,FX,350,USD,100.00,11,1100.00
2026-02-15,EQD,351,USD,101.10,12,1213.20
2026-02-16,FICC,352,EUR,102.20,13,1328.60
2026-02-17,FX,353,USD,103.30,14,1446.20
2026-02-18,EQD,354,USD,104.40,15,1566.00
2026-02-19,FICC,355,EUR,105.50,16,1688.00
2026-02-20,FX,356,USD,106.60,17,1812.20
2026-02-21,EQD,357,USD,107.00,18,1926.00
2026-02-22,FICC,358,EUR,108.10,19,2053.90
2026-02-23,FX,359,USD,109.20,20,2184.00
2026-02-24,EQD,360,USD,110.30,1,110.30
2026-02-25,FICC,361,EUR,111.40,2,222.80
2026-02-26,FX,362,USD,112.50,3,337.50
2026-02-27,EQD,363,USD,113.60,4,454.40
2026-02-28,FICC,364,EUR,114.00,5,570.00
2026-02-01,FX,365,USD,115.10,6,690.60
2026-02-02,EQD,366,USD,116.20,7,813.40
2026-02-03,FICC,367,EUR,117.30,8,938.40
2026-02-04,FX,368,USD,118.40,9,1065.60
2026-02-05,EQD,369,USD,119.50,10,1195.00
2026-02-06,FICC,370,EUR,120.60,11,1326.60
2026-02-07,FX,371,USD,121.00,12,1452.00
2026-02-08,EQD,372,USD,122.10,13,1587.30
2026-02-09,FICC,373,EUR,123.20,14,1724.80
2026-02-10,FX,374,USD,124.30,15,1864.50
2026-02-11,EQD,375,USD,125.40,16,2006.40
2026-02-12,FICC,376,EUR,126.50,17,2150.50
2026-02-13,FX,377,USD,127.60,18,2296.80
2026-02-14,EQD,378,USD,128.00,19,2432.00
2026-02-15,FICC,379,EUR,129.10,20,2582.00
2026-02-16,FX,380,USD,130.20,1,130.20
2026-02-17,EQD,381,USD,131.30,2,262.60
2026-02-18,FICC,382,EUR,132.40,3,397.20
2026-02-19,FX,383,USD,133.50,4,534.00
2026-02-20,EQD,384,USD,134.60,5,673.00
2026-02-21,FICC,385,EUR,135.00,6,810.00
2026-02-22,FX,386,USD,136.10,7,952.70
2026-02-23,EQD,387,USD,137.20,8,1097.60
2026-02-24,FICC,388,EUR,138.30,9,1244.70
2026-02-25,FX,389,USD,139.40,10,1394.00
2026-02-26,EQD,390,USD,140.50,11,1545.50
2026-02-27,FICC,391,EUR,141.60,12,1699.20
2026-02-28,FX,392,USD,142.00,13,1846.00
2026-02-01,EQD,393,USD,143.10,14,2003.40
2026-02-02,FICC,394,EUR,144.20,15,2163.00
2026-02-03,FX,395,USD,145.30,16,2324.80
2026-02-04,EQD,396,USD,146.40,17,2488.80
2026-02-05,FICC,397,EUR,147.50,18,2655.00
2026-02-06,FX,398,USD,148.60,19,2823.40
2026-02-07,EQD,399,USD,149.00,20,2980.00
2026-02-08,FICC,400,EUR,100.10,1,100.10
2026-02-09,FX,401,USD,101.20,2,202.40
2026-02-10,EQD,402,USD,102.30,3,306.90
2026-02-11,FICC,403,EUR,103.40,4,413.60
2026-02-12,FX,404,USD,104.50,5,522.50
2026-02-13,EQD,405,USD,105.60,6,633.60
2026-02-14,FICC,406,EUR,106.00,7,742.00
2026-02-15,FX,407,USD,107.10,8,856.80
2026-02-16,EQD,408,USD,108.20,9,973.80
2026-02-17,FICC,409,EUR,109.30,10,1093.00
2026-02-18,FX,410,USD,110.40,11,1214.40
2026-02-19,EQD,411,USD,111.50,12,1338.00
2026-02-20,FICC,412,EUR,112.60,13,1463.80
2026-02-21,FX,413,USD,113.00,14,1582.00
2026-02-22,EQD,414,USD,114.10,15,1711.50
2026-02-23,FICC,415,EUR,115.20,16,1843.20
2026-02-24,FX,416,USD,116.30,17,1977.10
2026-02-25,EQD,417,USD,117.40,18,2113.20
2026-02-26,FICC,418,EUR,118.50,19,2251.50
2026-02-27,FX,419,USD,119.60,20,2392.00
2026-02-28,EQD,420,USD,120.00,1,120.00
2026-02-01,FICC,421,EUR,121.10,2,242.20
2026-02-02,FX,422,USD,122.20,3,366.60
2026-02-03,EQD,423,USD,123.30,4,493.20
2026-02-04,FICC,424,EUR,124.40,5,622.00
2026-02-05,FX,425,USD,125.50,6,753.00
2026-02-06,EQD,426,USD,126.60,7,886.20
2026-02-07,FICC,427,EUR,127.00,8,1016.00
2026-02-08,FX,428,USD,128.10,9,1152.90
2026-02-09,EQD,429,USD,129.20,10,1292.00
2026-02-10,FICC,430,EUR,130.30,11,1433.30
2026-02-11,FX,431,USD,131.40,12,1576.80
2026-02-12,EQD,432,USD,132.50,13,1722.50
2026-02-13,FICC,433,EUR,133.60,14,1870.40
2026-02-14,FX,434,USD,134.00,15,2010.00
2026-02-15,EQD,435,USD,135.10,16,2161.60
2026-02-16,FICC,436,EUR,136.20,17,2315.40
2026-02-17,FX,437,USD,137.30,18,2471.40
2026-02-18,EQD,438,USD,138.40,19,2629.60
2026-02-19,FICC,439,EUR,139.50,20,2790.00
2026-02-20,FX,440,USD,140.60,1,140.60
2026-02-21,EQD,441,USD,141.00,2,282.00
2026-02-22,FICC,442,EUR,142.10,3,426.30
2026-02-23,FX,443,USD,143.20,4,572.80
2026-02-24,EQD,444,USD,144.30,5,721.50
2026-02-25,FICC,445,EUR,145.40,6,872.40
2026-02-26,FX,446,USD,146.50,7,1025.50
2026-02-27,EQD,447,USD,147.60,8,1180.80
2026-02-28,FICC,448,EUR,148.00,9,1332.00
2026-02-01,FX,449,USD,149.10,10,1491.00
2026-02-02,EQD,450,USD,100.20,11,1102.20
2026-02-03,FICC,451,EUR,101.30,12,1215.60
2026-02-04,FX,452,USD,102.40,13,1331.20
2026-02-05,EQD,453,USD,103.50,14,1449.00
2026-02-06,FICC,454,EUR,104.60,15,1569.00
2026-02-07,FX,455,USD,105.00,16,1680.00
2026-02-08,EQD,456,USD,106.10,17,1803.70
2026-02-09,FICC,457,EUR,107.20,18,1929.60
2026-02-10,FX,458,USD,108.30,19,2057.70
2026-02-11,EQD,459,USD,109.40,20,2188.00
2026-02-12,FICC,460,EUR,110.50,1,110.50
2026-02-13,FX,461,USD,111.60,2,223.20
2026-02-14,EQD,462,USD,112.00,3,336.00
2026-02-15,FICC,463,EUR,113.10,4,452.40
2026-02-16,FX,464,USD,114.20,5,571.00
2026-02-17,EQD,465,USD,115.30,6,691.80
2026-02-18,FICC,466,EUR,116.40,7,814.80
2026-02-19,FX,467,USD,117.50,8,940.00
2026-02-20,EQD,468,USD,118.60,9,1067.40
2026-02-21,FICC,469,EUR,119.00,10,1190.00
2026-02-22,FX,470,USD,120.10,11,1321.10
2026-02-23,EQD,471,USD,121.20,12,1454.40
2026-02-24,FICC,472,EUR,122.30,13,1589.90
2026-02-25,FX,473,USD,123.40,14,1727.60
2026-02-26,EQD,474,USD,124.50,15,1867.50
2026-02-27,FICC,475,EUR,125.60,16,2009.60
2026-02-28,FX,476,USD,126.00,17,2142.00
2026-02-01,EQD,477,USD,127.10,18,2287.80
2026-02-02,FICC,478,EUR,128.20,19,2435.80
2026-02-03,FX,479,USD,129.30,20,2586.00
2026-02-04,EQD,480,USD,130.40,1,130.40
2026-02-05,FICC,481,EUR,131.50,2,263.00
2026-02-06,FX,482,USD,132.60,3,397.80
2026-02-07,EQD,483,USD,133.00,4,532.00
2026-02-08,FICC,484,EUR,134.10,5,670.50
2026-02-09,FX,485,USD,135.20,6,811.20
2026-02-10,EQD,486,USD,136.30,7,954.10
2026-02-11,FICC,487,EUR,137.40,8,1099.20
2026-02-12,FX,488,USD,138.50,9,1246.50
2026-02-13,EQD,489,USD,139.60,10,1396.00
2026-02-14,FICC,490,EUR,140.00,11,1540.00
2026-02-15,FX,491,USD,141.10,12,1693.20
2026-02-16,EQD,492,USD,142.20,13,1848.60
2026-02-17,FICC,493,EUR,143.30,14,2006.20
2026-02-18,FX,494,USD,144.40,15,2166.00
2026-02-19,EQD,495,USD,145.50,16,2328.00
2026-02-20,FICC,496,EUR,146.60,17,2492.20
2026-02-21,FX,497,USD,147.00,18,2646.00
2026-02-22,EQD,498,USD,148.10,19,2813.90
2026-02-23,FICC,499,EUR,149.20,20,2984.00
2026-02-24,FX,500,USD,100.30,1,100.30
2026-02-25,EQD,501,USD,101.40,2,202.80
2026-02-26,FICC,502,EUR,102.50,3,307.50
2026-02-27,FX,503,USD,103.60,4,414.40
2026-02-28,EQD,504,USD,104.00,5,520.00
2026-02-01,FICC,505,EUR,105.10,6,630.60
2026-02-02,FX,506,USD,106.20,7,743.40
2026-02-03,EQD,507,USD,107.30,8,858.40
2026-02-04,FICC,508,EUR,108.40,9,975.60
2026-02-05,FX,509,USD,109.50,10,1095.00
2026-02-06,EQD,510,USD,110.60,11,1216.60
2026-02-07,FICC,511,EUR,111.00,12,1332.00
2026-02-08,FX,512,USD,112.10,13,1457.30
2026-02-09,EQD,513,USD,113.20,14,1584.80
2026-02-10,FICC,514,EUR,114.30,15,1714.50
2026-02-11,FX,515,USD,115.40,16,1846.40
2026-02-12,EQD,516,USD,116.50,17,1980.50
2026-02-13,FICC,517,EUR,117.60,18,2116.80
2026-02-14,FX,518,USD,118.00,19,2242.00
2026-02-15,EQD,519,USD,119.10,20,2382.00
2026-02-16,FICC,520,EUR,120.20,1,120.20
2026-02-17,FX,521,USD,121.30,2,242.60
2026-02-18,EQD,522,USD,122.40,3,367.20
2026-02-19,FICC,523,EUR,123.50,4,494.00
